nodes, total completed , avg time (ms)
3 , 10 , 2.8 
4 , 10 , 4.8 
5 , 10 , 4.3 
6 , 10 , 6.3 
7 , 10 , 8.5 
8 , 10 , 10.6 
9 , 10 , 11.5 
10 , 10 , 13 
11 , 10 , 12.8 
12 , 10 , 14.5 
13 , 10 , 15.4 
14 , 10 , 16.2 
15 , 10 , 16.5 
16 , 10 , 17.6 
17 , 10 , 18.8 
18 , 10 , 19 
19 , 10 , 19.1 
20 , 10 , 20.3 
21 , 10 , 21 
22 , 10 , 20.8 
23 , 10 , 21.8 
24 , 10 , 22.2 
25 , 10 , 22.8 
26 , 10 , 23.8 
27 , 10 , 23.8 
28 , 10 , 24.1 
29 , 10 , 24.2 
30 , 10 , 24.9 
31 , 10 , 26 
32 , 10 , 25.5 
33 , 10 , 26.5 
34 , 10 , 25.9 
35 , 10 , 26.9 
36 , 10 , 26.9 
37 , 10 , 28 
38 , 10 , 28.4 
39 , 10 , 29.6 
40 , 10 , 28.6 
41 , 10 , 30 
42 , 10 , 30.9 
43 , 10 , 29.5 
44 , 10 , 30.1 
45 , 10 , 30 
46 , 10 , 30.5 
47 , 10 , 31.1 
48 , 10 , 31.6 
49 , 10 , 31.5 
50 , 10 , 31.6 
51 , 10 , 32.3 
52 , 10 , 32 
53 , 10 , 31.8 
54 , 10 , 32.7 
55 , 10 , 32.6 
56 , 10 , 34.2 
57 , 10 , 34.2 
58 , 10 , 34.4 
59 , 10 , 34.7 
60 , 10 , 35.6 
61 , 10 , 37 
62 , 10 , 35.9 
63 , 10 , 37.3 
64 , 10 , 36.2 
65 , 10 , 36.8 
66 , 10 , 35.6 
67 , 10 , 37.2 
68 , 10 , 36.7 
69 , 10 , 37.4 
70 , 10 , 37.2 
71 , 10 , 39.2 
72 , 10 , 38.9 
73 , 10 , 40.4 
74 , 10 , 40.9 
75 , 10 , 40.7 
76 , 10 , 41.4 
77 , 10 , 43 
78 , 10 , 42.1 
79 , 10 , 40 
80 , 10 , 44.5 
81 , 10 , 40.7 
82 , 10 , 44.7 
83 , 10 , 41.6 
84 , 10 , 45.6 
85 , 10 , 43.7 
86 , 10 , 44.2 
87 , 10 , 45.5 
88 , 10 , 44.1 
89 , 10 , 48 
90 , 10 , 44.9 
91 , 10 , 49 
92 , 10 , 45.5 
93 , 10 , 47.4 
94 , 10 , 49.2 
95 , 10 , 48 
96 , 10 , 47 
97 , 10 , 47 
98 , 10 , 47.4 
99 , 10 , 49.1 
100 , 10 , 53.3 
101 , 10 , 47.3 
102 , 10 , 49.6 
103 , 10 , 48.5 
104 , 10 , 49.2 
105 , 10 , 51.1 
106 , 10 , 48.7 
107 , 10 , 50.1 
108 , 10 , 49.3 
109 , 10 , 52.6 
110 , 10 , 48.7 
111 , 10 , 49.6 
112 , 10 , 56.1 
113 , 10 , 51.3 
114 , 10 , 53 
115 , 10 , 53.3 
116 , 10 , 50.9 
117 , 10 , 54.8 
118 , 10 , 52.1 
119 , 10 , 55.4 
120 , 10 , 52.8 
121 , 10 , 52.7 
122 , 10 , 53.9 
123 , 10 , 54 
124 , 10 , 51.2 
125 , 10 , 55.1 
126 , 10 , 53.6 
127 , 10 , 57 
128 , 10 , 55.5 
129 , 10 , 55.1 
130 , 10 , 56.8 
131 , 10 , 57.8 
132 , 10 , 54.7 
133 , 10 , 52.8 
134 , 10 , 50.2 
135 , 10 , 56.4 
136 , 10 , 51.5 
137 , 10 , 52.2 
138 , 10 , 60.5 
139 , 10 , 55.6 
140 , 10 , 54 
141 , 10 , 56.3 
142 , 10 , 52.4 
143 , 10 , 55.8 
144 , 10 , 56.7 
145 , 10 , 55.8 
146 , 10 , 56.4 
147 , 10 , 56 
148 , 10 , 55.3 
149 , 10 , 52.9 
150 , 10 , 54.2 
151 , 10 , 56.4 
152 , 10 , 55.6 
153 , 10 , 54.6 
154 , 10 , 54.9 
155 , 10 , 53.7 
156 , 10 , 55.7 
157 , 10 , 54.7 
158 , 10 , 59.2 
159 , 10 , 54.8 
160 , 10 , 55.4 
161 , 10 , 56.1 
162 , 10 , 59 
163 , 10 , 58.1 
164 , 10 , 58.7 
165 , 10 , 60.8 
166 , 10 , 70 
167 , 10 , 98.5 
168 , 10 , 78.5 
169 , 10 , 90.1 
170 , 10 , 85.8 
171 , 10 , 85.4 
172 , 10 , 91.4 
173 , 9 , 96.5556 
225 , 10 , 66.1 
250 , 10 , 65 
275 , 10 , 70.4 
300 , 10 , 103.1 
301 , 10 , 105.9 
302 , 10 , 125.6 
303 , 10 , 96.5 
304 , 10 , 109.5 
305 , 2 , 112 
325 , 10 , 77.5 
350 , 10 , 105.75 
351 , 1 , 108 
375 , 10 , 86.7 
400 , 10 , 92.4 
425 , 10 , 100.5 
450 , 10 , 109.1 
475 , 10 , 111.8 
500 , 10 , 117.5 
525 , 10 , 125.6 
550 , 10 , 130.9 
575 , 10 , 141.9 
600 , 10 , 152.9 
625 , 10 , 164.1 
650 , 10 , 173.4 
675 , 10 , 180.4 
700 , 10 , 178.6 
725 , 10 , 199.4 
750 , 10 , 206.8 
800 , 10 , 234 
900 , 10 , 284.1 
1000 , 10 , 340.2 
1100 , 10 , 395.2 
1200 , 10 , 484.1 
1300 , 10 , 569.4 
1400 , 10 , 664.5 
1500 , 10 , 763.4 
1600 , 10 , 847.5 
1700 , 10 , 978 
1800 , 10 , 1105.5 
1900 , 10 , 1245.8 
2000 , 10 , 1357.8 
